date,open,high,low,close,volume
2024-05-21 11:55:00,211.0499,211.075,211.0,211.0,785
2024-05-21 11:57:00,211.08,211.08,211.0,211.0,200
2024-05-21 11:58:00,211.0,211.0,211.0,211.0,404
2024-05-21 11:59:00,211.015,211.075,211.015,211.075,560
2024-05-21 12:00:00,210.96,211.0125,210.96,210.97,305
2024-05-21 12:01:00,210.97,211.08,210.97,211.08,200
2024-05-21 12:02:00,211.08,211.11,211.025,211.065,1900
2024-05-21 12:03:00,211.12,211.12,211.065,211.065,400
2024-05-21 12:04:00,211.021,211.05,210.98,210.98,768
2024-05-21 12:05:00,211.01,211.01,211.01,211.01,224
2024-05-21 12:06:00,210.97,211.0,210.97,210.99,300
2024-05-21 12:07:00,211.015,211.05,211.01,211.05,1400
2024-05-21 12:08:00,211.06,211.18,211.055,211.105,800
2024-05-21 12:09:00,211.05,211.05,211.05,211.05,100
2024-05-21 12:10:00,211.09,211.1091,211.0644,211.0644,300
2024-05-21 12:11:00,211.07,211.12,211.0201,211.095,1900
2024-05-21 12:12:00,211.095,211.17,211.04,211.04,300
2024-05-21 12:13:00,211.02,211.03,210.92,210.92,300
2024-05-21 12:14:00,210.97,210.97,210.97,210.97,100
2024-05-21 12:15:00,210.93,210.93,210.93,210.93,100
2024-05-21 12:16:00,211.015,211.015,210.96,210.96,200
2024-05-21 12:17:00,210.96,211.005,210.96,210.97,300
2024-05-21 12:18:00,210.91,210.91,210.91,210.91,135
2024-05-21 12:19:00,210.92,210.92,210.92,210.92,100
2024-05-21 12:20:00,210.93,210.93,210.93,210.93,100
2024-05-21 12:21:00,211.0625,211.095,210.98,210.98,700
2024-05-21 12:22:00,210.975,211.1,210.97,211.0,510
2024-05-21 12:23:00,210.93,210.93,210.93,210.93,100
2024-05-21 12:24:00,210.905,211.07,210.86,210.9,7299
2024-05-21 12:26:00,210.88,210.88,210.88,210.88,200
2024-05-21 12:27:00,210.85,210.85,210.84,210.84,200
2024-05-21 12:29:00,210.925,210.98,210.925,210.98,750
2024-05-21 12:30:00,210.99,210.99,210.99,210.99,300
2024-05-21 12:31:00,210.965,210.965,210.965,210.965,100
2024-05-21 12:32:00,210.945,211.05,210.945,211.05,2600
2024-05-21 12:33:00,211.02,211.02,210.98,210.98,1300
2024-05-21 12:34:00,211.06,211.1,211.05,211.085,1000
2024-05-21 12:35:00,211.08,211.08,211.08,211.08,240
2024-05-21 12:37:00,211.02,211.02,211.02,211.02,100
2024-05-21 12:38:00,211.07,211.08,211.07,211.08,841
2024-05-21 12:39:00,211.0536,211.085,211.03,211.03,24140
2024-05-21 12:40:00,211.075,211.235,211.075,211.235,1100
2024-05-21 12:42:00,211.17,211.17,211.15,211.15,200
2024-05-21 12:43:00,211.12,211.12,211.04,211.04,716
2024-05-21 12:45:00,211.05,211.05,210.99,210.99,700
2024-05-21 12:46:00,210.98,210.98,210.98,210.98,100
2024-05-21 12:47:00,211.01,211.01,210.92,210.92,332
2024-05-21 12:48:00,210.92,210.92,210.92,210.92,100
2024-05-21 12:49:00,210.92,210.92,210.92,210.92,100
2024-05-21 12:50:00,211.0,211.08,210.965,210.97,800
2024-05-21 12:51:00,211.02,211.02,211.02,211.02,100
2024-05-21 12:52:00,210.97,210.97,210.89,210.93,900
2024-05-21 12:54:00,210.89,210.915,210.88,210.9,800
2024-05-21 12:56:00,210.95,210.95,210.88,210.88,400
2024-05-21 12:57:00,210.95,210.97,210.895,210.9,900
2024-05-21 12:58:00,210.88,210.88,210.88,210.88,100
2024-05-21 12:59:00,210.89,210.96,210.86,210.96,1000
2024-05-21 13:00:00,210.86,210.86,210.86,210.86,100
2024-05-21 13:01:00,210.97,210.97,210.96,210.96,600
2024-05-21 13:02:00,210.955,210.955,210.955,210.955,100
2024-05-21 13:03:00,210.985,211.12,210.955,211.0258,1325
2024-05-21 13:04:00,211.13,211.26,211.13,211.21,3115
2024-05-21 13:05:00,211.26,211.26,211.22,211.26,300
2024-05-21 13:06:00,211.22,211.22,211.145,211.15,600
2024-05-21 13:07:00,211.14,211.19,211.0255,211.09,1615
2024-05-21 13:08:00,211.0599,211.07,211.05,211.05,912
2024-05-21 13:09:00,211.0914,211.0914,211.03,211.03,208
2024-05-21 13:10:00,211.1464,211.1464,211.03,211.03,469
2024-05-21 13:11:00,211.0,211.02,210.97,211.01,818
2024-05-21 13:13:00,211.13,211.13,211.13,211.13,100
2024-05-21 13:14:00,211.01,211.01,211.01,211.01,100
2024-05-21 13:15:00,210.91,210.98,210.91,210.93,505
2024-05-21 13:16:00,210.96,210.96,210.96,210.96,100
2024-05-21 13:17:00,210.96,210.99,210.9536,210.9536,300
2024-05-21 13:18:00,211.0825,211.115,211.005,211.005,995
2024-05-21 13:19:00,211.13,211.13,211.13,211.13,500
